order_no,order_type,order_state,pos_no,detail_state,date_issued,suplier_id,supplier_name,part_no,serial_no,description,qty,uom,backorder,priority,order_currency,local_price,local_amnt,foreign_price,foreign_amt,cost_center,receiving_date,author,material_type,ship_to
P0304524,P,RECEIVED,1,RECEIVED,10/15/2024,REDACTED,REDACTED,EN3155-008M2222, ,MODULE PIN CONTACT #22 OR-BL-BK,350,EA,0,NORMAL,USD,6150,2152500,0.41,143.5,CSMBGEN,11/11/2024,REDACTED,C,REDACTED
P0304524,P,RECEIVED,2,RECEIVED,10/15/2024,REDACTED,REDACTED,EN3155-016M2222, ,JUNCTION MODULE PIN CONTACT #22,660,EA,0,NORMAL,USD,8850,5841000,0.59,389.4,CSMBGEN,11/11/2024,REDACTED,C,REDACTED
P0304524,P,RECEIVED,3,RECEIVED,10/15/2024,REDACTED,REDACTED,EN3155-019F2020, ,SOCKET CONTACT #20 RD-RD,120,EA,0,NORMAL,USD,13950,1674000,0.93,111.6,CSMBGEN,11/11/2024,REDACTED,C,REDACTED
P0304524,P,RECEIVED,4,RECEIVED,10/15/2024,REDACTED,REDACTED,MS20427M3-6, ,"COUNTERSUNK RIVET L 3/8"" D 3/32""",200,EA,0,NORMAL,USD,1350,270000,0.09,18,CSMBGEN,11/11/2024,REDACTED,C,REDACTED
P0304524,P,RECEIVED,5,RECEIVED,10/15/2024,REDACTED,REDACTED,MS20427M4-4, ,"COUNTERSUNK RIVET L 1/4"" D 1/8""",200,EA,0,NORMAL,USD,3000,600000,0.2,40,CSMBGEN,11/11/2024,REDACTED,C,REDACTED
P0304524,P,RECEIVED,6,RECEIVED,10/15/2024,REDACTED,REDACTED,NSA935401-04, ,CABLE TIE BLACK 3.5X150X1.1 MM,400,EA,0,NORMAL,USD,600,240000,0.04,16,CSMBGEN,11/18/2024,REDACTED,C,REDACTED
P0304524,P,RECEIVED,7,RECEIVED,10/15/2024,REDACTED,REDACTED,NSA935401-05, ,CABLE TIE BLACK 4.6X200X1.2 MM,400,EA,0,NORMAL,USD,1200,480000,0.08,32,CSMBGEN,11/18/2024,REDACTED,C,REDACTED
P0304624,P,RECEIVED,1,RECEIVED,10/15/2024,REDACTED,REDACTED,AN4-16A, ,BOLT,20,EA,0,URGENT,IDR,30000,600000,30000,600000,24BL412N,10/30/2024,REDACTED,C,REDACTED
P0304624,P,RECEIVED,2,RECEIVED,10/15/2024,REDACTED,REDACTED,AN4-17A, ,BOLT,20,EA,0,URGENT,IDR,30000,600000,30000,600000,24BL412N,10/30/2024,REDACTED,C,REDACTED
P0304624,P,RECEIVED,3,RECEIVED,10/15/2024,REDACTED,REDACTED,AN5-15A, ,BOLT,18,EA,0,URGENT,IDR,36000,648000,36000,648000,24BL412N,10/30/2024,REDACTED,C,REDACTED
P0304624,P,RECEIVED,4,RECEIVED,10/15/2024,REDACTED,REDACTED,AN5-16A, ,BOLT,20,EA,0,URGENT,IDR,36000,720000,36000,720000,24BL412N,10/30/2024,REDACTED,C,REDACTED
P0304724,P,PARTLY RECEIVED,3,OPEN,10/16/2024,REDACTED,REDACTED,ASNA4237DI012, ,HOSE,8,M,8,URGENT,EUR,1144800,9158400,76.32,610.56,24FAS555,,REDACTED,P,REDACTED
P0304724,P,PARTLY RECEIVED,1,RECEIVED,10/16/2024,REDACTED,REDACTED,22201BC080032L, ,BOLT,20,EA,0,URGENT,EUR,149550,2991000,9.97,199.4,24FAS555,11/11/2024,REDACTED,C,REDACTED
P0304724,P,PARTLY RECEIVED,2,RECEIVED,10/16/2024,REDACTED,REDACTED,23134CA070, ,WASHER FLAT,50,EA,0,URGENT,EUR,23400,1170000,1.56,78,24FAS555,11/11/2024,REDACTED,C,REDACTED
P0304724,P,PARTLY RECEIVED,4,RECEIVED,10/16/2024,REDACTED,REDACTED,BT2, ,"EXTRUSION,RUBBER",1,ROLL,0,URGENT,EUR,6618750,6618750,441.25,441.25,24FAS555,10/29/2024,REDACTED,C,REDACTED
P0304824,P,RECEIVED,1,RECEIVED,10/16/2024,REDACTED,REDACTED,CR3212-4-2, ,"COUNTERSUNKCHERRYRIVET D 1/8"" L 1/8""",200,EA,0,NORMAL,USD,11100,2220000,0.74,148,CSMBGEN,11/21/2024,REDACTED,C,REDACTED
P0304824,P,RECEIVED,2,RECEIVED,10/16/2024,REDACTED,REDACTED,CR3212-4-3, ,"COUNTERSUNKCHERRYRIVET D 1/8"" L3/16""",200,EA,0,NORMAL,USD,18150,3630000,1.21,242,CSMBGEN,11/21/2024,REDACTED,C,REDACTED
P0304824,P,RECEIVED,3,RECEIVED,10/16/2024,REDACTED,REDACTED,CR3212-4-7, ,"COUNTERSUNKCHERRYRIVET D 1/8"" L7/16""",100,EA,0,NORMAL,USD,30750,3075000,2.05,205,CSMBGEN,11/21/2024,REDACTED,C,REDACTED
P0304824,P,RECEIVED,4,RECEIVED,10/16/2024,REDACTED,REDACTED,CR3213-4-01, ,"UNIVERSALHEADCHERRYRIVET D1/8""L1/16""",500,EA,0,NORMAL,USD,25350,12675000,1.69,845,CSMBGEN,11/21/2024,REDACTED,C,REDACTED
P0304824,P,RECEIVED,5,RECEIVED,10/16/2024,REDACTED,REDACTED,CR3213-4-03, ,"CHERRY MAX RIVET 1/8""",400,EA,0,NORMAL,USD,39600,15840000,2.64,1056,CSMBGEN,11/21/2024,REDACTED,C,REDACTED
P0304824,P,RECEIVED,6,RECEIVED,10/16/2024,REDACTED,REDACTED,CR3213-4-04, ,"UNIVERSALHEADCHERRYRIVET D1/8""L1/4""",500,EA,0,NORMAL,USD,18300,9150000,1.22,610,CSMBGEN,11/21/2024,REDACTED,C,REDACTED
P0304824,P,RECEIVED,7,RECEIVED,10/16/2024,REDACTED,REDACTED,CR3243-4-01, ,"UNVRSLHEADCHERRYOVERSIZED1/8""L1/16""",500,EA,0,NORMAL,USD,23850,11925000,1.59,795,CSMBGEN,11/21/2024,REDACTED,C,REDACTED
P0304824,P,RECEIVED,8,RECEIVED,10/16/2024,REDACTED,REDACTED,CR3243-4-3, ,"UNVRSLHEADCHERRYOVERSIZED1/8""L3/16""",500,EA,0,NORMAL,USD,19200,9600000,1.28,640,CSMBGEN,11/21/2024,REDACTED,C,REDACTED
P0304824,P,RECEIVED,9,RECEIVED,10/16/2024,REDACTED,REDACTED,CR3243-4-04, ,CHERRY RIVET,500,EA,0,NORMAL,USD,14700,7350000,0.98,490,CSMBGEN,11/21/2024,REDACTED,C,REDACTED
P0304824,P,RECEIVED,10,RECEIVED,10/16/2024,REDACTED,REDACTED,CR3522-5-03, ,CHERRYMAX MONEL COUNTERSUNK RIVET,500,EACH,0,NORMAL,USD,69750,34875000,4.65,2325,CSMBGEN,11/21/2024,REDACTED,C,REDACTED
P0304924,P,RECEIVED,1,RECEIVED,10/16/2024,REDACTED,REDACTED,AS555-EXHAUST-COVER, ,FENNEC AS555 EXHAUST COVER,2,EA,0,URGENT,IDR,1650000,2970000,1650000,2970000,24FAS555,11/19/2024,REDACTED,N,REDACTED
P0304924,P,RECEIVED,2,RECEIVED,10/16/2024,REDACTED,REDACTED,AS555-INTAKE-COVER, ,FENNEC AS555 INTAKE COVER,1,EA,0,URGENT,IDR,2950000,2655000,2950000,2655000,24FAS555,11/19/2024,REDACTED,N,REDACTED
P0304924,P,RECEIVED,3,RECEIVED,10/16/2024,REDACTED,REDACTED,AS555-MRB-TIEDOWN, ,FENNEC AS555 MRB TIEDOWN STRAPS,3,EA,0,URGENT,IDR,3850000,10395000,3850000,10395000,24FAS555,11/19/2024,REDACTED,N,REDACTED
P0304924,P,RECEIVED,4,RECEIVED,10/16/2024,REDACTED,REDACTED,AS555-OILCOOLER-COVER, ,FENNEC AS555 OIL COOLER COVER,1,EA,0,URGENT,IDR,1950000,1755000,1950000,1755000,24FAS555,11/19/2024,REDACTED,N,REDACTED
P0304924,P,RECEIVED,5,RECEIVED,10/16/2024,REDACTED,REDACTED,AS555-WINDSHIELD-COVER, ,FENNEC AS555 WINDSHIELD COVER,1,EA,0,URGENT,IDR,2950000,2655000,2950000,2655000,24FAS555,1/13/2025,REDACTED,C,REDACTED
P0305024,P,PARTLY RECEIVED,3,OPEN,10/16/2024,REDACTED,REDACTED,365A63-8406-04, ,SHELF - LHS,2,EA,2,NORMAL,EUR,77139900,154279800,5142.66,10285.32,25PN565M,,REDACTED,P,REDACTED
P0305024,P,PARTLY RECEIVED,6,PARTLY RECEIVED,10/16/2024,REDACTED,REDACTED,E0052R22B55SNF, ,SIZE 22 PLUG CONNECTOR 55PIN W/O PIN,5,EA,1,NORMAL,EUR,634950,3174750,42.33,211.65,25PN565M,12/13/2024,REDACTED,C,REDACTED
P0305024,P,PARTLY RECEIVED,15,PARTLY RECEIVED,10/16/2024,REDACTED,REDACTED,E0836IS35-22SD, ,INSULATING,6,EA,1,NORMAL,EUR,1224300,7345800,81.62,489.72,25PN565M,2/25/2025,REDACTED,C,REDACTED
P0305024,P,PARTLY RECEIVED,1,RECEIVED,10/16/2024,REDACTED,REDACTED,400331, ,CONTROL BOX,1,EA,0,NORMAL,EUR,252503550,252503550,16833.57,16833.57,25PN565M,11/26/2024,REDACTED,P,REDACTED
P0305024,P,PARTLY RECEIVED,2,RECEIVED,10/16/2024,REDACTED,REDACTED,365A63-8206-00, ,SUPPORT,3,EA,0,NORMAL,EUR,18892500,56677500,1259.5,3778.5,25PN565M,11/25/2024,REDACTED,C,REDACTED
